id;genres;keywords;original_title;runtime;vote_average;vote_count;director
19995;Action Adventure Fantasy Science_Fiction;culture clash future space war space colony society;Avatar;162.0;7.2;11800;James Cameron
285;Adventure Fantasy Action;ocean drug abuse exotic island east india trading company love of one's life;Pirates of the Caribbean: At World's End;169.0;6.9;4500;Gore Verbinski
206647;Action Adventure Crime;spy based on novel secret agent sequel mi6;Spectre;148.0;6.3;4466;Sam Mendes
49026;Action Crime Drama Thriller;dc comics crime fighter terrorist secret identity burglar;The Dark Knight Rises;165.0;7.6;9106;Christopher Nolan
49529;Action Adventure Science_Fiction;based on novel mars medallion space travel princess;John Carter;132.0;6.1;2124;Andrew Stanton
559;Fantasy Action Adventure;dual identity amnesia sandstorm love of one's life forgiveness;Spider-Man 3;139.0;5.9;3576;Sam Raimi
38757;Animation Family;hostage magic horse fairy tale musical;Tangled;100.0;7.4;3330;Byron Howard
99861;Action Adventure Science_Fiction;marvel comic sequel superhero based on comic book vision;Avengers: Age of Ultron;141.0;7.3;6767;Joss Whedon
767;Adventure Fantasy Family;witch magic broom school of witchcraft wizardry;Harry Potter and the Half-Blood Prince;153.0;7.4;5293;David Yates
209112;Action Adventure Fantasy;dc comics vigilante superhero based on comic book revenge;Batman v Superman: Dawn of Justice;151.0;5.7;7004;Zack Snyder
1452;Adventure Fantasy Action Science_Fiction;saving the world dc comics invulnerability sequel superhero;Superman Returns;154.0;5.4;1400;Bryan Singer
10764;Adventure Action Thriller Crime;killing undercover secret agent british secret service;Quantum of Solace;106.0;6.1;2965;Marc Forster
58;Adventure Fantasy Action;witch fortune teller bondage exotic island monster;Pirates of the Caribbean: Dead Man's Chest;151.0;7.0;5246;Gore Verbinski
57201;Action Adventure Western;texas horse survivor texas ranger partner;The Lone Ranger;149.0;5.9;2311;Gore Verbinski
49521;Action Adventure Fantasy Science_Fiction;saving the world dc comics superhero based on comic book superhuman;Man of Steel;143.0;6.5;6359;Zack Snyder
2454;Adventure Family Fantasy;based on novel fictional place brother sister relationship lion human being;The Chronicles of Narnia: Prince Caspian;150.0;6.3;1630;Andrew Adamson
24428;Science_Fiction Action Adventure;new york shield marvel comic superhero based on comic book;The Avengers;143.0;7.4;11776;Joss Whedon
1865;Adventure Action Fantasy;sea captain mutiny sword prime minister;Pirates of the Caribbean: On Stranger Tides;136.0;6.4;4948;Rob Marshall
41154;Action Comedy Science_Fiction;time travel time machine alien fictional government agency seeing the future;Men in Black 3;106.0;6.2;4160;Barry Sonnenfeld
122917;Action Adventure Fantasy;corruption elves dwarves orcs middle-earth (tolkien);The Hobbit: The Battle of the Five Armies;144.0;7.1;4760;Peter Jackson
1930;Action Adventure Fantasy;loss of father vigilante serum marvel comic scientific experiment;The Amazing Spider-Man;136.0;6.5;6586;Marc Webb
57158;Adventure Fantasy;elves dwarves orcs hobbit dragon;The Hobbit: The Desolation of Smaug;161.0;7.6;4524;Peter Jackson
2268;Adventure Fantasy;england compass experiment lordship uncle;The Golden Compass;113.0;5.8;1303;Chris Weitz
254;Adventure Drama Action;film business screenplay show business film making film producer;King Kong;187.0;6.6;2337;Peter Jackson
597;Drama Romance Thriller;shipwreck iceberg ship panic titanic;Titanic;194.0;7.5;7562;James Cameron
271110;Adventure Action Science_Fiction;civil war war marvel comic sequel superhero;Captain America: Civil War;147.0;7.1;7241;Anthony Russo
44833;Thriller Action Adventure Science_Fiction;fight u.s. navy mind reading hong kong soccer;Battleship;131.0;5.5;2114;Peter Berg
37724;Action Adventure Thriller;spy secret agent sociopath killer art gallery;Skyfall;143.0;6.9;7604;Sam Mendes
558;Action Adventure Fantasy;dual identity love of one's life pizza boy marvel comic sequel;Spider-Man 2;127.0;6.7;4321;Sam Raimi
68721;Action Adventure Science_Fiction;terrorist war on terror tennessee malibu marvel comic;Iron Man 3;130.0;6.8;8806;Shane Black
12155;Family Fantasy Adventure;based on novel fictional place queen fantasy alice in wonderland;Alice in Wonderland;108.0;6.4;4645;Tim Burton
36668;Adventure Action Science_Fiction Thriller;mutant marvel comic based on comic book superhuman beast;X-Men: The Last Stand;104.0;6.3;3525;Brett Ratner
62211;Animation Family;monster dormitory games animation best friend;Monsters University;104.0;7.0;3528;Dan Scanlon
8373;Science_Fiction Action Adventure;egypt sun chaos symbol artifact;Transformers: Revenge of the Fallen;150.0;6.0;3138;Michael Bay
91314;Science_Fiction Action Adventure;sequel alien transformers giant robot robot;Transformers: Age of Extinction;165.0;5.8;3095;Michael Bay
